period,map_start,map_end,max_displacement_m,length_start_m,length_end_m,delta_length_m
Melotte (1721) → Berney (1831),melotte,berney,147.82710659926516,3472.0078969550623,3580.045420890752,108.03752393568993
Berney (1831) → Rénové (1888),berney,renove,162.76951693860315,3580.045420890752,4125.923336481498,545.8779155907459
Rénové (1888) → 1937,renove,1937,157.29964077851886,4125.923336481498,4247.293037841587,121.36970136008858
1937 → 1959,1937,1959,117.21659848417109,4247.293037841587,4186.608947127388,-60.684090714198646
1959 → Contemporary (2021),1959,contemporain,254.75695160879823,4186.608947127388,5927.845544972789,1741.2365978454009
