class,feature_count,total_area_m2,total_area_ha,map
non-built,683,476406.2918900325,47.64062918900325,before_renove_shared
road_network,300,76197.31869062231,7.619731869062231,before_renove_shared
built,1077,38580.163036868056,3.858016303686806,before_renove_shared
water,186,36470.809879557775,3.6470809879557775,before_renove_shared
road_network,405,362385.7632001105,36.238576320011056,after_contemporain_shared
non-built,29,296078.50035963836,29.60785003596384,after_contemporain_shared
built,255,156326.82516188838,15.632682516188838,after_contemporain_shared
water,2,152.5278517327434,0.015252785173274337,after_contemporain_shared
