class,feature_count,total_area_m2,total_area_ha,map,total_area_all_classes_ha
undecided,169,233008.35939750413,23.300835939750414,before_melotte_shared,25.61139789084829
buildings,130,11374.17827932587,1.137417827932587,before_melotte_shared,25.61139789084829
road network,43,9113.760867216297,0.9113760867216296,before_melotte_shared,25.61139789084829
water,12,2617.680364436604,0.2617680364436604,before_melotte_shared,25.61139789084829
non-built,200,199727.14277712136,19.972714277712136,after_berney_shared,22.889403177138988
built,184,15177.273594502001,1.5177273594502,after_berney_shared,22.889403177138988
road_network,30,13989.615399766542,1.3989615399766542,after_berney_shared,22.889403177138988
