period,map_start,map_end,area_start_m2,area_end_m2,delta_area_m2,delta_area_ha,stable_area_m2,lost_area_m2,gained_area_m2,lost_area_ha,gained_area_ha,max_boundary_displacement_m
Melotte (1721) → Berney (1831),melotte,berney,1318230.3943020494,1375956.3119028257,57725.9176007763,5.77259176007763,1290556.7507715381,27673.643530533398,85399.56113126874,2.7673643530533396,8.539956113126873,147.408634444687
Berney (1831) → Rénové (1888),berney,renove,1375956.3119028257,1310513.2708134155,-65443.041089410195,-6.544304108941019,1302226.171848024,73730.14005480884,8287.098965340683,7.373014005480885,0.8287098965340683,149.0521145232006
Rénové (1888) → 1937,renove,1937,1310513.2708134155,1167445.4248032602,-143067.84601015528,-14.306784601015528,0.0,1310513.270813416,1167445.42480326,131.0513270813416,116.744542480326,2236075.8682056656
1937 → 1959,1937,1959,1167445.4248032602,1175390.550731731,7945.125928470865,0.7945125928470865,0.0,1167445.42480326,1175390.5507317313,116.744542480326,117.53905507317313,2236067.6043222933
1959 → Contemporary (2021),1959,contemporain,1175390.550731731,937400.874575575,-237989.6761561561,-23.798967615615613,923216.952099717,252173.59863219064,14183.922475979884,25.217359863219063,1.4183922475979884,248.480964961435
