period,map_start,map_end,stable_length_m,lost_length_m,new_length_m,sort_key
Melotte (1721) → Berney (1831),melotte,berney,8484.139035422266,2093.264628446019,4151.575560602419,1721
Berney (1831) → Rénové (1888),berney,renove,11431.072289497282,1704.0631229198762,42.02826946147947,1831
Rénové (1888) → 1937,renove,1937,5743.093984650328,5373.454009742499,54.97374601545574,1888
1937 → 1959,1937,1959,3683.7107481979237,1494.893075262894,0.0,1937
1959 → Contemporary (2021),1959,contemporain,3292.519324507416,0.0,0.0,1959
