class,feature_count,total_area_m2,total_area_ha,map,total_area_all_classes_ha
non-built,162,69797.48139842597,6.979748139842598,before_berney_shared,10.201004021636985
road_network,17,16298.828158053966,1.6298828158053964,before_berney_shared,10.201004021636985
water,28,9652.095175051345,0.9652095175051345,before_berney_shared,10.201004021636985
built,118,6261.635484838567,0.6261635484838567,before_berney_shared,10.201004021636985
road_network,121,59214.28360744803,5.9214283607448035,after_renove_shared,11.615647866133148
non-built,169,42297.515986735,4.2297515986735,after_renove_shared,11.615647866133148
built,321,13387.665541342132,1.3387665541342133,after_renove_shared,11.615647866133148
water,23,1257.013525806313,0.1257013525806313,after_renove_shared,11.615647866133148
