period,map_start,map_end,area_start_m2,area_end_m2,delta_area_m2,delta_area_ha,stable_area_m2,lost_area_m2,gained_area_m2,lost_area_ha,gained_area_ha,max_boundary_displacement_m
Melotte (1721) → Berney (1831),melotte,berney,3.0713779017999774,0.013635608918629622,-3.057742292881348,-0.0003057742292881348,0.0,3.071377901799992,0.013635608918629622,0.0003071377901799992,1.3635608918629623e-06,899.4931453392854
Berney (1831) → Rénové (1888),berney,renove,0.013635608918629622,1310513.2708134155,1310513.2571778067,131.05132571778066,0.013635608918629622,0.0,1310513.2571778072,0.0,131.0513257177807,2191.058672508029
Rénové (1888) → 1937,renove,1937,1310513.2708134155,46.32934597421323,-1310466.9414674414,-131.04669414674413,35.70305833188307,1310477.5677550824,10.626287641896385,131.04775677550825,0.0010626287641896384,503.0908351196687
1937 → Contemporary (2021),1937,contemporain,46.32934597421323,937400.874575575,937354.5452296007,93.73545452296007,16.735092447054267,29.594253527329368,937384.1394831365,0.002959425352732937,93.73841394831365,503.2078837839892
